Statistic,Value
Ljung-Box (L1) (Q):,0.07
Prob(Q):,0.79
Heteroskedasticity (H):,0.75
Prob(H) (two-sided):,0.00
  Jarque-Bera (JB):  ,18080.13
  Prob(JB):          ,0.00
  Skew:              ,-1.24
  Kurtosis:          ,15.48
