name,coef,std err,z,P>|z|,[0.025,0.975]
intercept,    0.0002,    0.000,    0.878, 0.380,   -0.000,    0.001
ar.L1,    0.3989,    0.133,    2.989, 0.003,    0.137,    0.660
ma.L1,   -0.4568,    0.128,   -3.569, 0.000,   -0.708,   -0.206
sigma2,    0.0002, 3.04e-06,   80.191, 0.000,    0.000,    0.000
