name,coef,std err,z,P>|z|,[0.025,0.975]
intercept,-5.032e-05,    0.000,   -0.192, 0.848,   -0.001,    0.000
ar.L1,   -0.0109,    0.373,   -0.029, 0.977,   -0.743,    0.721
ma.L1,   -0.0109,    0.370,   -0.029, 0.977,   -0.737,    0.715
sigma2,    0.0002, 2.33e-06,   95.934, 0.000,    0.000,    0.000
