name,coef,std err,z,P>|z|,[0.025,0.975]
intercept,    0.0002,    0.000,    0.650, 0.515,   -0.000,    0.001
ar.L1,   -0.0885,    0.185,   -0.477, 0.633,   -0.452,    0.275
ma.L1,    0.0468,    0.184,    0.254, 0.799,   -0.314,    0.407
sigma2,    0.0002, 2.55e-06,   91.387, 0.000,    0.000,    0.000
