date,arima_resids
2008-01-07,0.03905872960325851
2008-01-08,1.2205717751122336
2008-01-09,-1.0306312410742535
2008-01-10,-0.7487233735583132
2008-01-11,-0.8313356355374779
2008-01-14,-0.8447443958016443
2008-01-15,-2.1541208636321585
2008-01-16,-2.519740244687707
2008-01-17,-0.29290456291901634
2008-01-18,-0.4595849635936844
2008-01-21,-6.589726437955079
2008-01-22,-1.8998863076507888
2008-01-23,-4.5610724128088975
2008-01-24,5.863711688111994
2008-01-25,0.9832252555301402
2008-01-28,-4.111656426306798
2008-01-29,2.025213446429941
2008-01-30,-0.653823152613775
2008-01-31,-3.714355784307699
2008-02-01,4.11703715465066
2008-02-04,2.711527164300165
2008-02-05,-3.1994200343219426
2008-02-06,-2.358523810559543
2008-02-07,-3.3475737937110672
2008-02-08,0.3429292365219716
2008-02-11,-1.4381460270660007
2008-02-12,5.2279354836174186
2008-02-13,2.586459853136347
2008-02-14,1.4577675994427608
2008-02-15,-2.813274117910236
2008-02-18,3.1768909736390682
2008-02-19,0.9742917029113229
2008-02-20,-0.9252685726811372
2008-02-21,1.1841768638091388
2008-02-22,-1.9406666126688954
2008-02-25,-1.5394667265267614
2008-02-26,1.4268898242653982
2008-02-27,1.5563726569463476
2008-02-28,-1.0409931922935378
2008-02-29,-2.3420868051063692
2008-03-03,-3.2116622133838924
2008-03-04,-0.8670457772712581
2008-03-05,1.3315550305339485
2008-03-06,-2.2181072023944814
2008-03-07,-2.3057952221380518
2008-03-10,0.07575068020146958
2008-03-11,4.227152455986971
2008-03-12,1.9832566258914497
2008-03-13,-4.371618735631344
2008-03-14,0.42537740352237563
2008-03-17,-7.762625323274186
2008-03-18,3.5015777754608735
2008-03-19,0.4514190200655577
2008-03-20,-2.6582171958789758
2008-03-21,-0.2743403205553996
2008-03-24,3.543604864067351
2008-03-25,-0.4917427416008202
2008-03-26,-0.8849145238843725
2008-03-27,-0.08104627504561535
2008-03-28,-2.8580143382564316
2008-03-31,-1.1774523177653151
2008-04-01,4.218005865798613
2008-04-02,0.6371226537784658
2008-04-03,1.406116158147075
2008-04-04,-0.7121657720428942
2008-04-07,2.1273068029245223
2008-04-08,-0.3708083917401517
2008-04-09,1.6478606083195402
2008-04-10,-1.9992264862553455
2008-04-11,-0.28621189355027
2008-04-14,-0.5699102331841566
2008-04-15,-0.39702274011412797
2008-04-16,-0.07470096535566739
2008-04-17,0.09202833312116354
2008-04-18,2.4367211823210333
2008-04-21,0.8772796099640878
2008-04-22,-0.6578345723961654
2008-04-24,0.7887224683440053
2008-04-25,0.8598817629941635
2008-04-28,-0.03743342734692234
2008-04-29,-1.3531102099026526
2008-04-30,0.9509090868709436
2008-05-01,-1.9180727942679887
2008-05-02,1.7877203719016244
2008-05-05,0.0081514226003776
2008-05-06,-1.35431535308701
2008-05-07,0.8710638806803672
2008-05-08,-2.2943752461382694
2008-05-09,-0.6197894403094928
2008-05-12,-0.9261053964305432
2008-05-13,0.4839895004844941
2008-05-14,1.620940776008073
2008-05-15,0.15702928473491085
2008-05-16,-0.3591218041066213
2008-05-20,-2.9098160625345315
2008-05-21,-0.6398249408896106
2008-05-22,-0.6001373110859909
2008-05-23,-1.939700522800969
2008-05-26,-1.2581524763726648
2008-05-27,1.9380941945301267
2008-05-28,-2.071320737282001
2008-05-29,-0.739337569914511
2008-05-30,2.2556215933017043
2008-06-02,0.29733791763000283
2008-06-03,0.7519054975166028
2008-06-04,-1.6235669139181397
2008-06-05,1.5670507107767406
2008-06-06,-2.113902729616779
2008-06-09,-1.471297843681274
2008-06-10,-1.0099863559314137
2008-06-11,-1.0488120630531839
2008-06-12,0.9629247486600434
2008-06-13,-0.803812595735387
2008-06-16,0.436409703712215
2008-06-17,0.6337818586296784
2008-06-18,-1.5837616198493443
2008-06-19,-0.33764225012307136
2008-06-20,-0.25169971427452253
2008-06-23,-0.8826719969120767
2008-06-24,-0.8173593385475186
2008-06-25,0.8059743853510604
2008-06-26,-2.7176069129334124
2008-06-27,-2.0204506159402946
2008-06-30,-2.008165716258592
2008-07-01,-5.423595141072646
2008-07-02,1.2787667995501018
2008-07-03,1.1021092605190574
2008-07-04,1.0899261587844933
2008-07-07,1.9834815690916052
2008-07-08,-0.44554638563845117
2008-07-09,1.943106668630623
2008-07-10,-0.19399018725048123
2008-07-11,-1.6853819600894049
2008-07-14,2.3135249397721047
2008-07-15,-1.6996236145057075
2008-07-16,3.112461383262488
2008-07-17,3.4429291567331433
2008-07-18,0.4706723565957027
2008-07-21,1.8373781848146642
2008-07-22,-3.0022826248395695
2008-07-23,2.4668755896954053
2008-07-24,0.9036706771928138
2008-07-25,-3.725490143197696
2008-07-28,1.5406443724253371
2008-07-29,2.6338398031077404
2008-07-30,5.313802478461316
2008-07-31,1.800622841181987
2008-08-01,1.6272963493504378
2008-08-04,0.4504909217014408
2008-08-05,-2.5199409069439405
2008-08-06,-0.39071526032961046
2008-08-07,-1.078335434963762
2008-08-08,-1.6285343013536568
2008-08-11,1.9370202979262174
2008-08-12,-0.7080368910667545
2008-08-13,-0.5275907980343497
2008-08-14,1.0883868375882955
2008-08-15,1.0918555056274926
2008-08-18,-0.6715987046022498
2008-08-19,-3.5810478522511957
2008-08-20,-1.6345992283925526
2008-08-21,-0.5048036574355486
2008-08-22,3.3321952060137328
2008-08-25,-0.5979710530504612
2008-08-26,-1.5261784731142924
2008-08-27,-1.304227799123936
2008-08-28,1.4670733618155296
2008-08-29,-0.8149672020107523
2008-09-01,-0.9936515548142566
2008-09-02,2.458968297205466
