Item,Value
Dep. Variable:,UKX.Index
Model:,"SARIMAX(1, 1, 1)"
Date:,"Thu, 29 Dec 2022"
Time:,15:45:20
Sample:,"(0, -3574)"
Covariance Type:,opg
  No. Observations:  ,3574
  Log Likelihood     ,10589.834
  AIC                ,-21171.668
  BIC                ,-21146.943
  HQIC               ,-21162.853
