Item,Value
Dep. Variable:,arima_resids
Mean Model:,Zero Mean
Vol Model:,GJR-GARCH
Distribution:,Normal
Method:,Maximum Likelihood
  R-squared:         ,   0.000
  Adj. R-squared:    ,   0.000
  Log-Likelihood:    ,  -4761.70
  AIC:               ,   9531.40
  BIC:               ,   9555.49
Date:,"Tue, Dec 20 2022"
Time:,14:37:50
  No. Observations:  ,3046
  Df Residuals:      ,3046
  Df Model:          ,0
