Item,Value
Dep. Variable:,UKX.Index
Model:,"SARIMAX(1, 1, 1)"
Date:,"Tue, 20 Dec 2022"
Time:,12:49:43
Sample:,"(0, -3574)"
Covariance Type:,opg
  No. Observations:  ,3574
  Log Likelihood     ,10589.834
  AIC                ,-21171.668
  BIC                ,-21146.943
  HQIC               ,-21162.853
