name,coef,std err,z,P>|z|,[0.025,0.975]
intercept,-8.848e-07, 9.55e-07,   -0.927, 0.354,-2.76e-06, 9.87e-07
ar.L1,    0.9743,    0.001,  774.701, 0.000,    0.972,    0.977
ma.L1,   -0.9991,    0.000,-2573.780, 0.000,   -1.000,   -0.998
sigma2,    0.0001, 1.41e-06,  102.006, 0.000,    0.000,    0.000
