name,coef,std err,t,P>|t|,95.0% Conf. Int.
omega,    0.0418,1.786e-02,    2.339,1.932e-02,"[6.777e-03,7.681e-02]"
alpha[1],    0.0189,1.873e-02,    1.009,    0.313,"[-1.782e-02,5.560e-02]"
gamma[1],    0.1077,2.995e-02,    3.595,3.248e-04,"[4.896e-02,  0.166]"
beta[1],    0.9064,2.366e-02,   38.302,0.000,"[  0.860,  0.953]"
