Item,Value
Dep. Variable:,IMOEX.Index
Model:,"SARIMAX(1, 1, 1)"
Date:,"Thu, 29 Dec 2022"
Time:,16:04:14
Sample:,"(0, -3535)"
Covariance Type:,opg
  No. Observations:  ,3535
  Log Likelihood     ,9044.818
  AIC                ,-18081.637
  BIC                ,-18056.956
  HQIC               ,-18072.833
