Item,Value
Dep. Variable:,AS51.Index
Model:,"SARIMAX(1, 1, 1)"
Date:,"Tue, 20 Dec 2022"
Time:,12:04:40
Sample:,"(0, -3579)"
Covariance Type:,opg
  No. Observations:  ,3579
  Log Likelihood     ,10966.762
  AIC                ,-21925.523
  BIC                ,-21900.793
  HQIC               ,-21916.707
