name,coef,std err,z,P>|z|,[0.025,0.975]
intercept, 3.295e-05,    0.000,    0.171, 0.864,   -0.000,    0.000
ar.L1,   -0.0367,    0.106,   -0.346, 0.730,   -0.245,    0.171
ma.L1,   -0.0367,    0.108,   -0.338, 0.735,   -0.249,    0.176
sigma2,    0.0001, 1.45e-06,   87.900, 0.000,    0.000,    0.000
