date,garch_resids
2008-01-07,-1.9378211111666839
2008-01-08,-2.250022482711363
2008-01-09,-1.734315795154398
2008-01-10,-1.5594939214489028
2008-01-11,-1.5675522967260194
2008-01-14,-1.7586000242026967
2008-01-15,1.5796708574434941
2008-01-16,-1.3422673398279112
2008-01-17,-1.8681615345183227
2008-01-18,-1.1865495111557767
2008-01-21,5.835496410196412
2008-01-22,-1.8363997666121756
2008-01-23,1.2013496556444636
2008-01-24,3.023899821926382
2008-01-25,-3.430018821398209
2008-01-28,-2.590963538351063
2008-01-29,-1.6197940097806725
2008-01-30,-2.9355460028325115
2008-01-31,-2.9066957739469217
2008-02-01,-0.8651905936485047
2008-02-04,-2.5901537664186134
2008-02-05,2.707901190172972
2008-02-06,-1.4597992605595973
2008-02-07,-1.970236590605741
2008-02-08,-2.613006528265741
2008-02-11,-1.9600336554939073
2008-02-12,0.6333690262581912
2008-02-13,-2.5559371351286795
2008-02-14,-2.1441717827000026
2008-02-15,-0.5808954946965721
2008-02-18,-0.5422793029992317
2008-02-19,-1.957077873786735
2008-02-20,-0.7558864405794168
2008-02-21,-1.414878437806387
2008-02-22,-0.876454664533771
2008-02-25,-0.9246366331159037
2008-02-26,0.1847622586767046
2008-02-27,-1.7291620647790682
2008-02-28,-0.41350071338164374
2008-02-29,-1.0327485596534178
2008-03-03,0.6200873238051918
2008-03-04,-0.10669086749958034
2008-03-05,0.59262821148842
2008-03-06,-0.7295017014169141
2008-03-07,-0.980011705974057
2008-03-10,-1.5255424264770399
2008-03-11,1.430907834208322
2008-03-12,-1.106386880395587
2008-03-13,-1.149285160688127
2008-03-14,-1.1526516023060138
2008-03-17,1.351820837882491
2008-03-18,1.1625421413000399
2008-03-19,-1.2258495038425121
2008-03-20,-1.6678444430781931
2008-03-25,1.9696762038470832
2008-03-26,-1.3167278519472823
2008-03-27,-0.49822018042705185
2008-03-28,-0.7448547270286747
2008-03-31,-0.1397665034241946
2008-04-01,1.7709597820224239
2008-04-02,-0.4266962433411867
2008-04-03,-0.6409477710389389
2008-04-04,-0.5428268041408064
2008-04-07,-0.7561840684429864
2008-04-08,-0.09073010474772736
2008-04-09,-0.13053805673374375
2008-04-10,-0.6653438854011686
2008-04-11,0.4084840723126071
2008-04-14,-0.5433857623192626
2008-04-15,0.5155122572299089
2008-04-16,0.34734000035411405
2008-04-17,-0.7822926868662554
2008-04-18,1.3469594065938797
2008-04-21,0.1946380742356184
2008-04-22,-0.35102060758101605
2008-04-23,-0.7819811198770557
2008-04-24,-1.2121107072712094
2008-04-25,-0.45032579775099313
2008-04-28,-0.4089906534033514
2008-04-29,0.09889662449357739
2008-04-30,-0.505806844852305
2008-05-02,0.736515566204107
2008-05-05,-1.031201811370538
2008-05-06,-0.6071315975891067
2008-05-07,-0.8918702126960494
2008-05-08,-0.6744738800144687
2008-05-09,-0.08151375516313919
2008-05-12,-0.22156821976604824
2008-05-13,-0.7326075290194718
2008-05-14,0.26308928374590124
2008-05-15,-0.9375229466962944
2008-05-16,-0.4900588402749081
2008-05-19,-0.01585395487989605
2008-05-20,0.9247688179970833
2008-05-21,-0.17782459400939254
2008-05-22,-1.1261881098218578
2008-05-23,0.8899423243977607
2008-05-26,-1.2308707890002524
2008-05-27,-0.3012214786519467
2008-05-28,-0.8889324783556545
2008-05-29,-0.9099047595898777
2008-05-30,-0.7107669570839046
2008-06-02,1.096542101996445
2008-06-03,-0.37708266931482726
2008-06-04,-0.6796601652035967
2008-06-05,-0.5746621102633256
2008-06-06,1.194497272396004
2008-06-09,-0.9697373458968788
2008-06-10,-1.0342136518754876
2008-06-11,-0.166033089300901
2008-06-12,0.6245578641878398
2008-06-13,-0.352850067386707
2008-06-16,-0.08007903057790777
2008-06-17,-0.972721588140179
2008-06-18,0.5806651500489382
2008-06-19,-1.217570472856584
2008-06-20,-0.1321015294842216
2008-06-23,-1.4829958850697733
2008-06-24,0.12887380731407028
2008-06-25,0.45130751537209934
2008-06-26,1.5278091196797547
2008-06-27,-1.7057303120836942
2008-06-30,-1.426772965799364
2008-07-01,0.5959468414171554
2008-07-02,-1.0883009738146152
2008-07-03,-0.7314700028116516
2008-07-04,0.10047980707318205
2008-07-07,0.07918626274357732
2008-07-08,-0.1266550608775674
2008-07-09,0.0067160750536432445
2008-07-10,0.5166442246771734
2008-07-11,1.217753292406384
2008-07-14,-1.5438234723727646
2008-07-15,0.5414037341663112
2008-07-16,-0.9233007898746899
2008-07-17,1.0141424422674001
2008-07-18,0.1202768334979809
2008-07-21,-0.9788147079710514
2008-07-22,-0.40884224905511224
2008-07-23,0.9037806985303427
2008-07-24,0.391200363481615
2008-07-25,-1.2518531460963913
2008-07-28,-0.995700758169024
2008-07-29,-0.08428792963772747
2008-07-30,-0.6184828103124842
2008-07-31,-1.1491545923983977
2008-08-01,1.0423749653339187
2008-08-04,-0.8488625859438341
2008-08-05,0.8250995701537163
2008-08-06,-1.5786909959054265
2008-08-07,-1.2087003777084262
2008-08-08,-0.9022880059096621
2008-08-11,0.5323446068650124
2008-08-12,-1.0617355731318026
2008-08-13,1.075171930426967
2008-08-14,-0.9924799659633119
2008-08-15,-0.9493035059500727
2008-08-18,-1.5241323838875853
2008-08-19,1.4391484664851881
2008-08-20,-1.4268140249770642
2008-08-21,-0.3630635904852473
2008-08-22,0.6998441518557306
2008-08-25,-0.23138265091078414
2008-08-26,-0.9163126728669546
2008-08-27,-1.1546091647708565
2008-08-28,-0.021810937136120145
2008-08-29,-1.1706508661193817
2008-09-01,-1.3756787116626306
