Item,Value
Dep. Variable:,arima_resids
Mean Model:,Zero Mean
Vol Model:,GJR-GARCH
Distribution:,Normal
Method:,Maximum Likelihood
  R-squared:         ,   0.000
  Adj. R-squared:    ,   0.000
  Log-Likelihood:    ,  -4080.58
  AIC:               ,   8169.16
  BIC:               ,   8193.21
Date:,"Tue, Dec 20 2022"
Time:,14:44:47
  No. Observations:  ,3021
  Df Residuals:      ,3021
  Df Model:          ,0
