name,coef,std err,z,P>|z|,[0.025,0.975]
intercept,    0.0002,    0.000,    0.778, 0.437,   -0.000,    0.001
ar.L1,   -0.0270,    0.137,   -0.197, 0.843,   -0.295,    0.241
ma.L1,    0.0950,    0.137,    0.693, 0.488,   -0.174,    0.364
sigma2,    0.0001,  1.5e-06,   92.038, 0.000,    0.000,    0.000
