Item,Value
Dep. Variable:,SPX.Index
Model:,"SARIMAX(1, 1, 1)"
Date:,"Thu, 29 Dec 2022"
Time:,13:31:36
Sample:,"(0, -3558)"
Covariance Type:,opg
  No. Observations:  ,3558
  Log Likelihood     ,10426.909
  AIC                ,-20845.819
  BIC                ,-20821.112
  HQIC               ,-20837.008
