name,coef,std err,t,P>|t|,95.0% Conf. Int.
omega,    0.0997,3.729e-02,    2.674,7.494e-03,"[2.663e-02,  0.173]"
alpha[1],    0.0295,1.148e-02,    2.574,1.006e-02,"[7.045e-03,5.205e-02]"
gamma[1],    0.1143,3.917e-02,    2.918,3.527e-03,"[3.751e-02,  0.191]"
beta[1],    0.8708,3.450e-02,   25.238,1.528e-140,"[  0.803,  0.938]"
