name,coef,std err,t,P>|t|,95.0% Conf. Int.
omega,    0.0316,8.760e-03,    3.605,3.121e-04,"[1.441e-02,4.875e-02]"
alpha[1],5.1065e-10,1.340e-02,3.811e-08,    1.000,"[-2.626e-02,2.626e-02]"
gamma[1],    0.2095,3.632e-02,    5.769,7.996e-09,"[  0.138,  0.281]"
beta[1],    0.8809,2.027e-02,   43.455,0.000,"[  0.841,  0.921]"
