name,coef,std err,t,P>|t|,95.0% Conf. Int.
omega,    0.0681,1.517e-02,    4.489,7.161e-06,"[3.837e-02,9.784e-02]"
alpha[1],8.4729e-03,1.189e-02,    0.713,    0.476,"[-1.483e-02,3.178e-02]"
gamma[1],    0.2199,4.569e-02,    4.812,1.494e-06,"[  0.130,  0.309]"
beta[1],    0.8473,2.257e-02,   37.537,2.330e-308,"[  0.803,  0.892]"
