Item,Value
Dep. Variable:,arima_resids
Mean Model:,Zero Mean
Vol Model:,GJR-GARCH
Distribution:,Normal
Method:,Maximum Likelihood
  R-squared:         ,   0.000
  Adj. R-squared:    ,   0.000
  Log-Likelihood:    ,  -5211.64
  AIC:               ,   10431.3
  BIC:               ,   10455.2
Date:,"Thu, Dec 29 2022"
Time:,13:36:24
  No. Observations:  ,2925
  Df Residuals:      ,2925
  Df Model:          ,0
