date,garch_resids
2008-01-10,-2.582699969397616
2008-01-11,-2.639519801328516
2008-01-14,-1.7716904916084486
2008-01-15,-1.9891869595446208
2008-01-16,1.9565950531965388
2008-01-17,-0.974685213869066
2008-01-18,-1.7779986688129812
2008-01-21,5.13830710290227
2008-01-22,-2.6466307362591937
2008-01-23,0.6198524893799604
2008-01-24,2.0867615375497914
2008-01-25,-1.14484531577552
2008-01-28,0.7609231515808741
2008-01-29,-0.9610850700069102
2008-01-30,-1.2908191209155118
2008-01-31,0.7827426915170808
2008-02-01,0.5927675052725374
2008-02-04,-1.3493288287837895
2008-02-05,-0.5945078141949183
2008-02-06,-3.338119214049706
2008-02-07,-0.1681687244968466
2008-02-08,-2.481084093214779
2008-02-11,-0.8582837113286472
2008-02-12,0.6019244571229381
2008-02-13,-1.6966431792407457
2008-02-14,-2.810575376874402
2008-02-15,-0.7895348018308499
2008-02-18,-0.4798887016891906
2008-02-19,-1.856075643649831
2008-02-20,-1.1464951609208223
2008-02-21,-0.1345465598738338
2008-02-22,-2.2443133482123985
2008-02-25,-2.3009477590126792
2008-02-26,-1.9419952823171247
2008-02-27,-1.2216337138154998
2008-02-28,-0.8215148613529721
2008-02-29,-0.30188957408426287
2008-03-03,-1.015307523809414
2008-03-04,-1.554703946189906
2008-03-05,-0.7303898050679623
2008-03-06,-1.5940523596878673
2008-03-07,0.23001344439646831
2008-03-11,1.5366215303756632
2008-03-12,-1.7585058050550844
2008-03-13,0.01939816586276999
2008-03-14,-1.541554263087391
2008-03-17,2.5809144000717064
2008-03-18,-0.5509118974268881
2008-03-19,-1.7934996484965158
2008-03-20,0.02553089262607333
2008-03-21,-1.6323582235859289
2008-03-24,0.8723917546013591
2008-03-25,-0.1394800928370592
2008-03-26,-2.0425778804619026
2008-03-27,-0.4264196552298132
2008-03-28,-1.3743259230560667
2008-03-31,-1.8211823452518716
2008-04-01,-1.021740699909481
2008-04-02,-0.9901753068191996
2008-04-03,-0.29894671407720885
2008-04-04,-1.3963569342483277
2008-04-07,0.7440265510908535
2008-04-08,-0.4340043774610005
2008-04-09,-0.0043469422507118605
2008-04-10,-1.3938552551873165
2008-04-11,0.6684609081543669
2008-04-14,-0.9726156927331975
2008-04-15,-0.17519648080694816
2008-04-16,0.21395392617207154
2008-04-17,-0.3896438352865461
2008-04-18,0.5279564249554052
2008-04-21,-0.2647309446618398
2008-04-22,-1.1365348244749103
2008-04-23,-0.9852507887950293
2008-04-24,0.23335782248855885
2008-04-25,-0.09413060544952878
2008-04-28,-1.0602875105850595
2008-04-29,-0.9247991135236906
2008-04-30,-1.265860483611254
2008-05-05,-0.04065026419733919
2008-05-06,-0.9261188304827679
2008-05-07,1.378372600236447
2008-05-08,1.873672054659187
2008-05-12,0.049723177097011906
2008-05-13,-0.3813600279754632
2008-05-14,2.131724922808104
2008-05-15,-0.8391882583205734
2008-05-16,1.1862718453674215
2008-05-19,-0.7971447441548809
2008-05-20,0.0007916129634981672
2008-05-21,-0.20781240508942922
2008-05-22,1.7203906783275729
2008-05-23,-0.818728921106779
2008-05-26,-0.7835589518805746
2008-05-27,0.4792495463292361
2008-05-28,-0.8422147235874076
2008-05-29,0.3527000837088765
2008-05-30,-0.72880093446099
2008-06-02,-0.9989304545009694
2008-06-03,-0.6941157413997725
2008-06-04,1.6732467798200161
2008-06-05,-1.6851893664522903
2008-06-06,-1.17506008082867
2008-06-09,-0.2617027663478044
2008-06-10,-0.7162430409177372
2008-06-11,-0.7361595822682416
2008-06-16,-1.2698700882852099
2008-06-17,-0.16135306832565477
2008-06-18,-1.1138765683903422
2008-06-19,-1.2527579100891837
2008-06-20,-0.29065207332367127
2008-06-23,0.1983011805281456
2008-06-24,0.7810160111844007
2008-06-25,-1.370369617649999
2008-06-26,-1.0805502867859715
2008-06-27,-0.9612103419557603
2008-06-30,-0.6728617049738352
2008-07-01,2.1469506635887132
2008-07-02,-0.7774811642274764
2008-07-03,-0.8741591306782619
2008-07-04,0.03960075292345944
2008-07-07,-0.9327392013907152
2008-07-08,-0.7653559855826453
2008-07-09,-1.053748895013937
2008-07-10,-1.3315621120444288
2008-07-11,0.800833206921415
2008-07-14,1.089665224610189
2008-07-15,0.6613974131475511
2008-07-16,-1.0328827177534836
2008-07-17,1.1740411771100483
2008-07-18,2.3379953687535893
2008-07-21,-1.3960805757691706
2008-07-22,-0.29815854855980284
2008-07-23,-1.8987823693368555
2008-07-24,-0.12343471067667844
2008-07-25,3.61652683175934
2008-07-28,-0.6899307116536395
2008-07-29,-1.5213153254044567
2008-07-30,1.6396096671811877
2008-07-31,-2.1279215522443993
2008-08-01,-2.3130212821680898
2008-08-04,0.39742068354276583
2008-08-05,1.2657306948277376
2008-08-06,-1.6052481882394862
2008-08-07,-1.0250664976023156
2008-08-08,2.9208487448531026
2008-08-11,0.8618356188295184
2008-08-12,-0.45899511836121976
2008-08-13,-1.0961819618305197
2008-08-14,-1.3938798438568698
2008-08-15,-1.6974496239073384
2008-08-18,-1.7945163349822715
2008-08-19,3.6715460243102993
2008-08-20,-1.2775040633269241
2008-08-21,-2.554911045552806
2008-08-22,-1.5017270792415278
2008-08-25,1.1273004335134327
2008-08-26,-1.0085614268701195
2008-08-27,-2.2501134061599575
2008-08-28,1.780564330804296
2008-08-29,-1.5990102667324009
2008-09-01,-1.525401478372025
2008-09-02,-2.5374736955056125
2008-09-03,0.6872127225033693
2008-09-04,0.5419232567472552
2008-09-05,0.8705156517443817
2008-09-08,0.1825967303906597
2008-09-09,6.672566010353554
