name,coef,std err,z,P>|z|,[0.025,0.975]
intercept,    0.0001,    0.000,    0.579, 0.563,   -0.000,    0.001
ar.L1,   -0.0696,    0.070,   -0.990, 0.322,   -0.207,    0.068
ma.L1,   -0.0185,    0.072,   -0.258, 0.797,   -0.159,    0.122
sigma2,    0.0001, 1.04e-06,  131.622, 0.000,    0.000,    0.000
