Item,Value
Dep. Variable:,arima_resids
Mean Model:,Zero Mean
Vol Model:,GJR-GARCH
Distribution:,Normal
Method:,Maximum Likelihood
  R-squared:         ,   0.000
  Adj. R-squared:    ,   0.000
  Log-Likelihood:    ,  -3679.14
  AIC:               ,   7366.27
  BIC:               ,   7388.95
Date:,"Tue, Dec 20 2022"
Time:,14:02:08
  No. Observations:  ,2139
  Df Residuals:      ,2139
  Df Model:          ,0
