Item,Value
Dep. Variable:,MERVAL.Index
Model:,"SARIMAX(1, 1, 1)"
Date:,"Tue, 20 Dec 2022"
Time:,15:11:09
Sample:,"(0, -3446)"
Covariance Type:,opg
  No. Observations:  ,3446
  Log Likelihood     ,7933.325
  AIC                ,-15858.650
  BIC                ,-15834.071
  HQIC               ,-15849.871
