name,coef,std err,z,P>|z|,[0.025,0.975]
intercept,    0.0001,    0.000,    0.481, 0.631,   -0.000,    0.001
ar.L1,    0.2939,    1.214,    0.242, 0.809,   -2.086,    2.673
ma.L1,   -0.2872,    1.219,   -0.236, 0.814,   -2.676,    2.101
sigma2,    0.0002, 2.15e-06,   93.467, 0.000,    0.000,    0.000
