Item,Value
Dep. Variable:,SASEIDX.Index
Model:,"SARIMAX(1, 1, 1)"
Date:,"Tue, 20 Dec 2022"
Time:,11:57:22
Sample:,"(0, -2555)"
Covariance Type:,opg
  No. Observations:  ,2555
  Log Likelihood     ,7031.968
  AIC                ,-14055.936
  BIC                ,-14032.554
  HQIC               ,-14047.457
