name,coef,std err,t,P>|t|,95.0% Conf. Int.
omega,    0.0258,4.316e-03,    5.980,2.229e-09,"[1.735e-02,3.427e-02]"
alpha[1],7.8547e-11,1.338e-02,5.872e-09,    1.000,"[-2.622e-02,2.622e-02]"
gamma[1],    0.2325,3.145e-02,    7.392,1.444e-13,"[  0.171,  0.294]"
beta[1],    0.8584,1.525e-02,   56.276,0.000,"[  0.828,  0.888]"
