Item,Value
Dep. Variable:,JCI.Index
Model:,"SARIMAX(1, 1, 1)"
Date:,"Thu, 29 Dec 2022"
Time:,13:27:45
Sample:,"(0, -5387)"
Covariance Type:,opg
  No. Observations:  ,5387
  Log Likelihood     ,15699.791
  AIC                ,-31391.583
  BIC                ,-31365.217
  HQIC               ,-31382.377
