name,coef,std err,t,P>|t|,95.0% Conf. Int.
omega,    0.0161,4.936e-03,    3.253,1.141e-03,"[6.384e-03,2.573e-02]"
alpha[1],2.8782e-11,9.177e-03,3.136e-09,    1.000,"[-1.799e-02,1.799e-02]"
gamma[1],    0.1061,2.267e-02,    4.679,2.886e-06,"[6.165e-02,  0.151]"
beta[1],    0.9270,1.516e-02,   61.131,0.000,"[  0.897,  0.957]"
