Item,Value
Dep. Variable:,arima_resids
Mean Model:,Zero Mean
Vol Model:,GJR-GARCH
Distribution:,Normal
Method:,Maximum Likelihood
  R-squared:         ,   0.000
  Adj. R-squared:    ,   0.000
  Log-Likelihood:    ,  -4032.07
  AIC:               ,   8072.14
  BIC:               ,   8096.12
Date:,"Tue, Dec 20 2022"
Time:,11:05:05
  No. Observations:  ,2971
  Df Residuals:      ,2971
  Df Model:          ,0
