name,coef,std err,z,P>|z|,[0.025,0.975]
intercept,    0.0001,    0.000,    0.960, 0.337,   -0.000,    0.000
ar.L1,    0.5432,    0.233,    2.330, 0.020,    0.086,    1.000
ma.L1,   -0.5642,    0.228,   -2.473, 0.013,   -1.011,   -0.117
sigma2,    0.0002, 1.84e-06,   82.251, 0.000,    0.000,    0.000
