Item,Value
Dep. Variable:,SHSZ300.Index
Model:,"SARIMAX(1, 1, 1)"
Date:,"Thu, 29 Dec 2022"
Time:,13:37:19
Sample:,"(0, -3437)"
Covariance Type:,opg
  No. Observations:  ,3437
  Log Likelihood     ,9210.700
  AIC                ,-18413.400
  BIC                ,-18388.832
  HQIC               ,-18404.624
