name,coef,std err,t,P>|t|,95.0% Conf. Int.
omega,    0.3376,    0.143,    2.359,1.831e-02,"[5.713e-02,  0.618]"
alpha[1],    0.2424,    0.126,    1.919,5.495e-02,"[-5.136e-03,  0.490]"
gamma[1],-3.4100e-03,7.397e-02,-4.610e-02,    0.963,"[ -0.148,  0.142]"
beta[1],    0.7233,8.744e-02,    8.271,1.325e-16,"[  0.552,  0.895]"
