name,coef,std err,t,P>|t|,95.0% Conf. Int.
omega,    0.0419,1.559e-02,    2.689,7.173e-03,"[1.136e-02,7.247e-02]"
alpha[1],    0.0685,1.399e-02,    4.900,9.606e-07,"[4.112e-02,9.595e-02]"
gamma[1],    0.0888,2.610e-02,    3.402,6.693e-04,"[3.763e-02,  0.140]"
beta[1],    0.8646,2.711e-02,   31.892,3.401e-223,"[  0.811,  0.918]"
