name,coef,std err,z,P>|z|,[0.025,0.975]
intercept, 1.717e-05,    0.000,    0.065, 0.948,   -0.000,    0.001
ar.L1,    0.3561,    0.113,    3.162, 0.002,    0.135,    0.577
ma.L1,   -0.2746,    0.115,   -2.397, 0.017,   -0.499,   -0.050
sigma2,    0.0002, 2.27e-06,  104.751, 0.000,    0.000,    0.000
