name,coef,std err,t,P>|t|,95.0% Conf. Int.
omega,    0.0131,3.983e-03,    3.288,1.009e-03,"[5.289e-03,2.090e-02]"
alpha[1],1.2790e-09,1.233e-02,1.037e-07,    1.000,"[-2.417e-02,2.417e-02]"
gamma[1],    0.1168,1.626e-02,    7.179,7.045e-13,"[8.488e-02,  0.149]"
beta[1],    0.9274,1.525e-02,   60.820,0.000,"[  0.898,  0.957]"
