name,coef,std err,z,P>|z|,[0.025,0.975]
intercept,   -0.0001,    0.000,   -0.449, 0.654,   -0.001,    0.000
ar.L1,    0.1839,    0.799,    0.230, 0.818,   -1.383,    1.751
ma.L1,   -0.1727,    0.802,   -0.215, 0.830,   -1.744,    1.399
sigma2,    0.0002, 2.43e-06,   97.656, 0.000,    0.000,    0.000
