name,coef,std err,z,P>|z|,[0.025,0.975]
intercept,  6.64e-05,    0.000,    0.290, 0.772,   -0.000,    0.001
ar.L1,-2.128e-06,    0.005,   -0.000, 1.000,   -0.010,    0.010
ma.L1,-2.132e-06,    0.005,   -0.000, 1.000,   -0.010,    0.010
sigma2,    0.0002,  1.8e-06,   96.891, 0.000,    0.000,    0.000
