Item,Value
Dep. Variable:,MEXBOL.Index
Model:,"SARIMAX(1, 1, 1)"
Date:,"Thu, 29 Dec 2022"
Time:,16:28:45
Sample:,"(0, -3555)"
Covariance Type:,opg
  No. Observations:  ,3555
  Log Likelihood     ,10747.860
  AIC                ,-21487.720
  BIC                ,-21463.016
  HQIC               ,-21478.910
