Statistic,Value
Ljung-Box (L1) (Q):,0.01
Prob(Q):,0.92
Heteroskedasticity (H):,0.49
Prob(H) (two-sided):,0.00
  Jarque-Bera (JB):  ,8928.93
  Prob(JB):          ,0.00
  Skew:              ,0.07
  Kurtosis:          ,10.76
