date,arima_resids
2008-01-07,0.026416549124252953
2008-01-08,0.36346559908793097
2008-01-09,-1.201244839186888
2008-01-10,-0.8285502991477678
2008-01-11,-0.7369467879866143
2008-01-14,0.4334422745008837
2008-01-15,-2.6885765119998517
2008-01-16,-1.1303014932265931
2008-01-17,-1.0402229540038554
2008-01-18,-1.3541442132301462
2008-01-21,-6.492616733298551
2008-01-22,1.7528043538936444
2008-01-23,-3.8507965052299475
2008-01-24,5.8029157677673915
2008-01-25,-0.4937790926088148
2008-01-28,-0.45549717089601316
2008-01-29,1.8909395290653386
2008-01-30,-1.1595443956823992
2008-01-31,-0.26312044316201266
2008-02-01,2.0122415311165653
2008-02-04,-0.05652477561559621
2008-02-05,-3.7295587096060956
2008-02-06,0.8268826111367034
2008-02-07,-1.77811602169351
2008-02-08,-0.4031497654672478
2008-02-11,-0.6697915205413629
2008-02-12,3.3461543247161885
2008-02-13,0.41985867470195615
2008-02-14,0.28090586009899
2008-02-15,-1.7819916270022773
2008-02-18,1.8332601646958935
2008-02-19,0.567910394822313
2008-02-20,-1.6726687738363388
2008-02-21,0.7477756720532192
2008-02-22,-0.8123343657291393
2008-02-25,1.6246915187267952
2008-02-26,1.0939272267299849
2008-02-27,-0.2257804714320244
2008-02-28,-1.7946658479565336
2008-02-29,-1.31003393984912
2008-03-03,-1.156320650628917
2008-03-04,-1.3245896381625322
2008-03-05,1.6853615196390948
2008-03-06,-1.3998653280927087
2008-03-07,-1.018154312915609
2008-03-10,-1.1802209191688284
2008-03-11,1.232265856555692
2008-03-12,1.2828064225612223
2008-03-13,-1.3989357075471887
2008-03-14,-0.7454996636796274
2008-03-17,-3.666087866084844
2008-03-18,2.9121221563836563
2008-03-19,-0.5895399157255454
2008-03-20,-0.3843261504201223
2008-03-25,2.849105531142726
2008-03-26,-0.17194801004762894
2008-03-27,0.8280204522359114
2008-03-28,-0.44234079614380306
2008-03-31,0.2936334569065835
2008-04-01,3.1557501553846734
2008-04-02,0.9082908547126678
2008-04-03,-0.5388377588857907
2008-04-04,0.5589440213654484
2008-04-07,0.7901245998470863
2008-04-08,-0.595284498759785
2008-04-09,-0.7340525489943239
2008-04-10,-0.17222997917452076
2008-04-11,-1.1371493129905375
2008-04-14,-0.643941609595089
2008-04-15,0.3325003682379979
2008-04-16,1.5656255504811867
2008-04-17,-0.056407259849944325
2008-04-18,1.958433488163358
2008-04-21,-0.7965008082953418
2008-04-22,-0.6368432557590786
2008-04-23,1.1496910741587207
2008-04-24,-0.43326463317336916
2008-04-25,0.8731376325662232
2008-04-28,0.8564836871397752
2008-04-29,-0.63320899065058
2008-04-30,0.5322659740018665
2008-05-02,1.3646694558612005
2008-05-05,-0.1542503703000797
2008-05-06,-0.4273751611482801
2008-05-07,0.7965575664337976
2008-05-08,-0.4902275877731732
2008-05-09,-1.2912501988473046
2008-05-12,0.26440468230450875
2008-05-13,0.08654057810808524
2008-05-14,0.8748171260636539
2008-05-15,0.14896086944107267
2008-05-16,0.19195066409025685
2008-05-19,1.2971000166808189
2008-05-20,-1.6211913581972048
2008-05-21,-0.5003869436083441
2008-05-22,-0.07593826719940466
2008-05-23,-1.843624644421915
2008-05-26,0.08441445773579304
2008-05-27,-0.6767448829487321
2008-05-28,1.285019282387534
2008-05-29,0.09168896141336091
2008-05-30,0.7417363775537034
2008-06-02,-1.5386277850797825
2008-06-03,0.8943779259911189
2008-06-04,-1.15501754139542
2008-06-05,0.08575814129558879
2008-06-06,-2.2272364821595225
2008-06-09,-0.08362543658799737
2008-06-10,-0.692705150697126
2008-06-11,-1.8132354069504864
2008-06-12,0.18575546570707147
2008-06-13,-0.11534324781807825
2008-06-16,-0.41383637232979
2008-06-17,0.5402949714298444
2008-06-18,-1.5849403154609476
2008-06-19,-0.8822695681057979
2008-06-20,-1.8908594065865536
2008-06-23,-0.18380037565908225
2008-06-24,-0.8064744867594342
2008-06-25,1.1608676531057682
2008-06-26,-2.547954153934384
2008-06-27,-0.6390376534796793
2008-06-30,0.541486371262323
2008-07-01,-2.253981268398686
2008-07-02,-0.9159673899992171
2008-07-03,0.6528782329711547
2008-07-04,-1.6450333327309608
2008-07-07,1.650080079256977
2008-07-08,-1.7525832278368902
2008-07-09,1.4889275523865209
2008-07-10,-2.532020326275486
2008-07-11,-2.867206895974661
2008-07-14,0.7646574438242126
2008-07-15,-2.4780284280504716
2008-07-16,1.1266926375873787
2008-07-17,2.7710922853865227
2008-07-18,1.3885712507023307
2008-07-21,0.8249467066463012
2008-07-22,-0.5407150136371719
2008-07-23,2.280864910935243
2008-07-24,-1.5297720113315094
2008-07-25,0.32329973547753355
2008-07-28,-1.186241369093377
2008-07-29,-0.08800598995506448
2008-07-30,1.7039338060525822
2008-07-31,-0.41277131039096915
2008-08-01,-1.618444886480841
2008-08-04,-0.548842704528063
2008-08-05,2.368374615597002
2008-08-06,1.3754385974353411
2008-08-07,0.07239631433222371
2008-08-08,0.8585972611010462
2008-08-11,1.2526221366733203
2008-08-12,-0.15381286524025484
2008-08-13,-2.2485011897033225
2008-08-14,0.21126071001749125
2008-08-15,0.7690438945657796
2008-08-18,-0.19838387049748718
2008-08-19,-2.5267960693129865
2008-08-20,0.5610873218166113
2008-08-21,-1.243717673853162
2008-08-22,2.1678253196645514
2008-08-25,-1.0005186765470242
2008-08-26,0.34627033375382865
2008-08-27,0.2144457255857546
2008-08-28,1.730530049775325
2008-08-29,0.523634835228215
2008-09-01,-0.17412372936114195
2008-09-02,1.3204074725853054
2008-09-03,-1.8879990718719597
