name,coef,std err,z,P>|z|,[0.025,0.975]
intercept,    0.0006,    0.000,    2.071, 0.038, 3.13e-05,    0.001
ar.L1,   -0.3746,    0.094,   -3.978, 0.000,   -0.559,   -0.190
ma.L1,    0.4343,    0.093,    4.682, 0.000,    0.252,    0.616
sigma2,    0.0002,  1.6e-06,  129.488, 0.000,    0.000,    0.000
