name,coef,std err,z,P>|z|,[0.025,0.975]
intercept,    0.0001,    0.000,    0.343, 0.731,   -0.001,    0.001
ar.L1,    0.0087,    0.303,    0.029, 0.977,   -0.584,    0.602
ma.L1,    0.0087,    0.304,    0.029, 0.977,   -0.586,    0.604
sigma2,    0.0004,  2.3e-06,  152.498, 0.000,    0.000,    0.000
