name,coef,std err,z,P>|z|,[0.025,0.975]
intercept,    0.0003,    0.000,    1.364, 0.173,   -0.000,    0.001
ar.L1,   -0.1756,    0.041,   -4.329, 0.000,   -0.255,   -0.096
ma.L1,    0.0345,    0.043,    0.805, 0.421,   -0.050,    0.119
sigma2,    0.0002, 1.34e-06,  114.104, 0.000,    0.000,    0.000
