Statistic,Value
Ljung-Box (L1) (Q):,0.00
Prob(Q):,0.99
Heteroskedasticity (H):,0.71
Prob(H) (two-sided):,0.00
  Jarque-Bera (JB):  ,31286.19
  Prob(JB):          ,0.00
  Skew:              ,-0.65
  Kurtosis:          ,17.47
