name,coef,std err,z,P>|z|,[0.025,0.975]
intercept,-9.577e-05,    0.001,   -0.181, 0.857,   -0.001,    0.001
ar.L1,   -0.8119,    0.101,   -8.024, 0.000,   -1.010,   -0.614
ma.L1,    0.8353,    0.096,    8.733, 0.000,    0.648,    1.023
sigma2,    0.0003, 3.89e-06,   70.685, 0.000,    0.000,    0.000
