name,coef,std err,z,P>|z|,[0.025,0.975]
intercept, 5.504e-05,    0.000,    0.218, 0.827,   -0.000,    0.001
ar.L1,   -0.0129,    0.356,   -0.036, 0.971,   -0.710,    0.684
ma.L1,   -0.0132,    0.356,   -0.037, 0.970,   -0.711,    0.684
sigma2,    0.0002, 2.23e-06,   92.988, 0.000,    0.000,    0.000
