name,coef,std err,t,P>|t|,95.0% Conf. Int.
omega,    0.0125,4.072e-03,    3.081,2.064e-03,"[4.564e-03,2.053e-02]"
alpha[1],1.0751e-03,1.135e-02,9.468e-02,    0.925,"[-2.118e-02,2.333e-02]"
gamma[1],    0.1177,1.718e-02,    6.848,7.498e-12,"[8.399e-02,  0.151]"
beta[1],    0.9263,1.523e-02,   60.806,0.000,"[  0.896,  0.956]"
