Item,Value
Dep. Variable:,arima_resids
Mean Model:,Zero Mean
Vol Model:,GJR-GARCH
Distribution:,Normal
Method:,Maximum Likelihood
  R-squared:         ,   0.000
  Adj. R-squared:    ,   0.000
  Log-Likelihood:    ,  -4080.58
  AIC:               ,   8169.16
  BIC:               ,   8193.21
Date:,"Thu, Dec 29 2022"
Time:,16:27:54
  No. Observations:  ,3021
  Df Residuals:      ,3021
  Df Model:          ,0
