Statistic,Value
Ljung-Box (L1) (Q):,0.03
Prob(Q):,0.86
Heteroskedasticity (H):,0.47
Prob(H) (two-sided):,0.00
  Jarque-Bera (JB):  ,15894.59
  Prob(JB):          ,0.00
  Skew:              ,-0.49
  Kurtosis:          ,13.40
