name,coef,std err,z,P>|z|,[0.025,0.975]
intercept,    0.0001,    0.000,    0.406, 0.685,   -0.000,    0.001
ar.L1,   -0.0726,    1.610,   -0.045, 0.964,   -3.228,    3.083
ma.L1,    0.0775,    1.609,    0.048, 0.962,   -3.075,    3.230
sigma2,    0.0002, 1.52e-06,  100.749, 0.000,    0.000,    0.000
