name,coef,std err,z,P>|z|,[0.025,0.975]
intercept,    0.0004,    0.000,    2.017, 0.044, 1.11e-05,    0.001
ar.L1,    0.0513,    0.071,    0.721, 0.471,   -0.088,    0.191
ma.L1,    0.0530,    0.072,    0.732, 0.464,   -0.089,    0.195
sigma2,    0.0002,  1.6e-06,  107.331, 0.000,    0.000,    0.000
