name,coef,std err,t,P>|t|,95.0% Conf. Int.
omega,    0.0317,9.468e-03,    3.347,8.179e-04,"[1.313e-02,5.024e-02]"
alpha[1],    0.0455,1.304e-02,    3.492,4.789e-04,"[1.998e-02,7.109e-02]"
gamma[1],    0.1219,2.728e-02,    4.468,7.911e-06,"[6.842e-02,  0.175]"
beta[1],    0.8788,1.617e-02,   54.333,0.000,"[  0.847,  0.910]"
