Item,Value
Dep. Variable:,arima_resids
Mean Model:,Zero Mean
Vol Model:,GJR-GARCH
Distribution:,Normal
Method:,Maximum Likelihood
  R-squared:         ,   0.000
  Adj. R-squared:    ,   0.000
  Log-Likelihood:    ,  -4910.81
  AIC:               ,   9829.63
  BIC:               ,   9853.57
Date:,"Thu, Dec 29 2022"
Time:,13:45:16
  No. Observations:  ,2941
  Df Residuals:      ,2941
  Df Model:          ,0
