name,coef,std err,t,P>|t|,95.0% Conf. Int.
omega,    0.0673,1.609e-02,    4.184,2.858e-05,"[3.580e-02,9.888e-02]"
alpha[1],    0.0465,2.129e-02,    2.186,2.884e-02,"[4.806e-03,8.826e-02]"
gamma[1],    0.1481,4.108e-02,    3.607,3.101e-04,"[6.764e-02,  0.229]"
beta[1],    0.8472,2.016e-02,   42.021,0.000,"[  0.808,  0.887]"
