Item,Value
Dep. Variable:,MERVAL.Index
Model:,"SARIMAX(1, 1, 1)"
Date:,"Thu, 29 Dec 2022"
Time:,16:49:16
Sample:,"(0, -3446)"
Covariance Type:,opg
  No. Observations:  ,3446
  Log Likelihood     ,7933.325
  AIC                ,-15858.650
  BIC                ,-15834.071
  HQIC               ,-15849.871
