name,coef,std err,z,P>|z|,[0.025,0.975]
intercept, 3.647e-05, 2.76e-05,    1.321, 0.187,-1.77e-05, 9.06e-05
ar.L1,    0.9641,    0.025,   38.623, 0.000,    0.915,    1.013
ma.L1,   -0.9721,    0.023,  -43.173, 0.000,   -1.016,   -0.928
sigma2,    0.0006, 2.93e-06,  191.264, 0.000,    0.001,    0.001
