Item,Value
Dep. Variable:,arima_resids
Mean Model:,Zero Mean
Vol Model:,GJR-GARCH
Distribution:,Normal
Method:,Maximum Likelihood
  R-squared:         ,   0.000
  Adj. R-squared:    ,   0.000
  Log-Likelihood:    ,  -3506.67
  AIC:               ,   7021.34
  BIC:               ,   7045.39
Date:,"Tue, Dec 20 2022"
Time:,11:37:47
  No. Observations:  ,3015
  Df Residuals:      ,3015
  Df Model:          ,0
