name,coef,std err,t,P>|t|,95.0% Conf. Int.
omega,7.5505e-03,1.991e-03,    3.792,1.492e-04,"[3.648e-03,1.145e-02]"
alpha[1],    0.0102,9.119e-03,    1.118,    0.264,"[-7.680e-03,2.807e-02]"
gamma[1],    0.1279,1.942e-02,    6.585,4.559e-11,"[8.983e-02,  0.166]"
beta[1],    0.9114,1.282e-02,   71.083,0.000,"[  0.886,  0.937]"
