Statistic,Value
Ljung-Box (L1) (Q):,0.00
Prob(Q):,0.99
Heteroskedasticity (H):,0.54
Prob(H) (two-sided):,0.00
  Jarque-Bera (JB):  ,23135.53
  Prob(JB):          ,0.00
  Skew:              ,-0.76
  Kurtosis:          ,15.40
