name,coef,std err,z,P>|z|,[0.025,0.975]
intercept,    0.0003,    0.000,    1.527, 0.127,-9.62e-05,    0.001
ar.L1,   -0.0791,    0.044,   -1.815, 0.069,   -0.165,    0.006
ma.L1,   -0.0627,    0.045,   -1.389, 0.165,   -0.151,    0.026
sigma2,    0.0002, 1.57e-06,  106.157, 0.000,    0.000,    0.000
