name,coef,std err,t,P>|t|,95.0% Conf. Int.
omega,    0.0267,7.560e-03,    3.533,4.115e-04,"[1.189e-02,4.152e-02]"
alpha[1],1.4579e-12,1.151e-02,1.266e-10,    1.000,"[-2.256e-02,2.256e-02]"
gamma[1],    0.2123,3.732e-02,    5.689,1.275e-08,"[  0.139,  0.285]"
beta[1],    0.8786,2.135e-02,   41.146,0.000,"[  0.837,  0.920]"
