Item,Value
Dep. Variable:,arima_resids
Mean Model:,Zero Mean
Vol Model:,GJR-GARCH
Distribution:,Normal
Method:,Maximum Likelihood
  R-squared:         ,   0.000
  Adj. R-squared:    ,   0.000
  Log-Likelihood:    ,  -4484.63
  AIC:               ,   8977.25
  BIC:               ,   9001.38
Date:,"Tue, Dec 20 2022"
Time:,12:55:38
  No. Observations:  ,3075
  Df Residuals:      ,3075
  Df Model:          ,0
